screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
WitchKraft3,WitchKraft,,Warts and all. Gender Logical. Pronouns: Mister/Misty,@FeliciaEntwined @Women___Exist @Allen61Kevin @DuckDuckeeDuck @shadowmaiden14 @ohboyitstara @hemantmehta So which s… https://t.co/9uv607QNRk,no,no,no,no,no,no,
SezehC,Sezeh Cha Chasaurus of the Terffragettes,United Realm of Terfs -,"sex ♀️ not 👗Gender. Cis off. Employment: Head of HR @Fnordtechnology. Terffragettes coined by@Ecuadorian_Mum 
#Believe in material reality.","RT @LabelFreeBrands: @Slatzism That’s why I love the AFAB Transwoman movement 😂 

Here’s a guide to getting that AMAB confidence, ladies!…",no,no,no,no,no,no,
aew4_life,AEW4Life,,,"@AngelaVolkov Ohhhhh I was thinking the other way around, like a transman entering the ring against a man, that's k… https://t.co/SqpOagKBf4",no,no,no,no,no,no,
JeremyWickins,Jeremy Wickins - Terfbyproxysaurus!,"South Yorkshire, England ","Parent, avid supporter of Scottish Independence, petrolhead. A wasted day is one in which nothing is learned. Alba gu bràth!","RT @emmy720: @SSS_music @EuanRL A transwoman can be very specific about wanting ""Cis Lesbians"" which is about genitalia which matters to th…",no,no,no,no,no,no,
Estrogentleman,Boytit haver,,Only gay ironically.,"@cbroylesELA @christapeterso I have personally met a transwoman who is an admitted rapist, and several people who h… https://t.co/lelJrFwyHP",no,no,no,no,no,no,
TeddyBoy53,Teddy Boy 5,,,"@SwipeWright Two days ago, I asked one transwoman what the people in her gender identity group all had in common. S… https://t.co/amCpcXE3MD",no,no,no,no,no,no,
ClareWa68428306,Greenbeans,,Gender Critical,RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
toadbaiter,Shazia Khan #BLM,"Toulouse, France",Curse the culture that kills its daughters.,RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
BirthingParent,Malia,,💙💗🤍💗💙,Please give generously to prevent this stunning and brave AFAB transwoman from threatening suicide. https://t.co/ajUpyZ4oWr,no,no,no,no,no,no,
betsvigi9,🏁🟥 🦕Oviraptor Bagshot 🦕,Huddersfield,"Lesbian, female homosexual #WeAreAllMarionMillar  #TheStanilandQuestion. No males in female single sex spaces.  None at all.  No thank you.",RT @CEJacksonLaw: “I’ve spent years talking with believers &amp; with atheists trying to understand Orthodox Gender doctrines. As a result of m…,no,no,no,no,no,no,
