screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir,ze/zem
AarelCalhoun,ari,umich '19,sweet honey comes from bees that sting,Completed another workout ladies and gents and theydies 😎,no,no,no,no,no,no,
BigBrotherAbyss,Mike,NY,Just rooting for mess and the downfall of men. #BBCAN9 I’ll follow back specifically Big Brother accounts 😁,Hey theydies how are we feeling ahead of the episode tonight 🤗,no,no,no,no,no,no,
Ieezus,Liza Posting Their W’s Online,,im unusual not so typical way too smart to be waiting around (they/them),“Ladies and theydies” https://t.co/QPn8In38zm,no,no,yes,no,no,no,
HOYAGRAM,jess⁷ ⚓︎ loves taeminie,she/her | PRT/ENG,what I gotta do to get some food in this place | black,goodnight ladies and theydies https://t.co/rSKMQnylN6,no,yes,no,no,no,no,
dinospy,Queen of Fakes & Imitators,Pacific Northwest,"Mira, a woman now standing where once there was only a girl |she/her|18+|","@lemonlikesgirls ""theydies and gentlethems""",no,yes,no,no,no,no,
FrankiePozier,pozier,,NSFW | 21 | He/They | minors dni please | fem/andro | trans man,"RT @DollSkinMeg: Me complimenting men: hey man I like your shirt

Me to complimenting ladies and theydies: holy fucking shit you are so god…",yes,no,yes,no,no,no,
androbutch420,Neurodivergent Royalty ☭,"Buffalo, NY",Ezra | Butch Lesbian | 23 | Autistic | They/Them & Ze/Hir & He/Him or No Pronouns | @workersworld,They’ve got a point theydies and gentle thems 🤔🤔🤔 https://t.co/Fs0Ep0tv7z,yes,no,yes,no,no,,yes
glitteringlatte,"natalia, she/her/ella","Los Angeles, CA",capricorn • 21 • legal studies @ ucb,"I got the little scholarship today, received notification that my application is under review for this job I really… https://t.co/mgHkpbDYbF",no,no,no,no,no,no,
rlynata,nata,she/they,"keeper of the gate .. ♑︎☼, ♏︎☽, ♒︎↟ | ♡ mateo",RT @cupidb4e: the phrase “theydies and gentlethem” took years off of my life,no,yes,yes,no,no,no,
CALAM1TY28,martyna¹ᴰ◟̽◞̽ zayn's cousin (real!),read carrd byf please ˎˊ˗,͏             🌿🎨🍄🌞🍂💿             — she¡her ‧₊˚✧,@Colleens_Boba @allthelovesoph um i feel like the term 'theydies' may be quite offensive to some people who use the… https://t.co/ouFcBnFJGK,no,yes,no,no,no,no,
Colleens_Boba,Becca💛 CLAIMS TRACK 11 ON ASHLYN,She/her/hers,"Ballinger, Taylor Swift, Glee and One direction stan💙 Rachel followed 17.09.20 Trent followed 9.11.20 RELAX! followed 13.01.21",@allthelovesoph I say theydies and gentlemen,no,yes,no,no,no,no,
whoaitsjasmine,tastefully rotund.,minding korean business,ethereal bisexual who wears mostly black. i enjoy critical thinking and being a hater. virgo.,"I follow a lot of intelligent ladies and theydies, but most of the time their thoughts merely add layers and new in… https://t.co/sSGJHqqszA",no,no,no,no,no,no,
theydies_,ACAB,2nd Circle of Hell,"ACAB. BLACK LIVES MATTER. Fuck TERFs. Fuck SWERFS.

they/them",RT @mhdksafa: Police don’t prevent crime. They show up after it happens. Crime prevention starts with funding social programs and creating…,no,no,yes,no,no,no,
nobodysbabynow1,Vee M. 🔮,🇲🇽/🇺🇲/25,Writer. Artist. Bad Seed. Back from the dead. (She/They),"theydies and gentlegirls, category is: men who you'd risk a UTI for https://t.co/kYRV5t8Vaa",no,yes,yes,no,no,no,
fullpigroast,ham,,"⚡️a place for the marxists, the anarchists, the agitators, and people who in many instances have absolutely no clue what they are doing ⚡️",i just want a bunch of ladies and theydies to skate with is that too much to ask for,no,no,yes,no,no,no,
slowandanxious,sn’annon,"San Antonio, TX",24🐌,i’m trynna chill with my theydies and girls today cuz i need estrogen energy.,no,no,no,no,no,no,
maykathleen_,May,"Arizona, USA",Bi. J’s Wife. Finn’s Mama. She/her.                     V*nmo & Cash*pp: maykathleen1204,"Theydies and Gentlethems! Please welcome to the stage the incomparable...the legendary...the ONE supreme diva...

M… https://t.co/XfPr6Kmh4C",no,yes,no,no,no,no,
zireaelxintrea,moth 🌸 @ loving choso,Kaer Morhen,Moth 🦇 she/her ⚡ 25 ⚡ himbo connoisseur ✨bi ✨bulma kissed vegeta 31.01.2016 ✨vegeta called bulma babe 30.04.2017 🔞 minors dni,had to beg my brother to play genshin coop with me that's how sad today is theydies and gentlemen!!!,no,yes,no,no,no,no,
AsthmaPumpPuffa,Saint Negrita (Vaccine Shaw),@ the CD 101.9 studio,Black Woman Playwright ✍🏾,Getting my vakky at the same hospital where I almost died once as a baby because of an asthma attack. Full circle m… https://t.co/9Am8G2Xezk,no,no,no,no,no,no,
SamanthaKasse,samantha kassé,she/her,𝚊𝚗 𝚊𝚖𝚋𝚒𝚟𝚎𝚛𝚝 𝚠𝚒𝚝𝚑 𝚊𝚠𝚎𝚜𝚘𝚖𝚎 𝚑𝚊𝚒𝚛,@iamlaurenp This only applies to Leo ladies and theydies.,no,yes,no,no,no,no,
